GO.ID	Term	n
GO:0000077	DNA damage checkpoint	6
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	16
GO:0000380	alternative mRNA splicing, via spliceosome	6
GO:0000460	maturation of 5.8S rRNA	23
GO:0000724	double-strand break repair via homologous recombination	16
GO:0000725	recombinational repair	15
GO:0000959	mitochondrial RNA metabolic process	1
GO:0001824	blastocyst development	21
GO:0002429	immune response-activating cell surface receptor signaling pathway	18
GO:0002768	immune response-regulating cell surface receptor signaling pathway	9
GO:0006119	oxidative phosphorylation	1
GO:0006275	regulation of DNA replication	8
GO:0006278	RNA-dependent DNA biosynthetic process	13
GO:0006284	base-excision repair	1
GO:0006296	nucleotide-excision repair, DNA incision, 5'-to lesion	21
GO:0006302	double-strand break repair	1
GO:0006323	DNA packaging	6
GO:0006360	transcription from RNA polymerase I promoter	23
GO:0006366	transcription from RNA polymerase II promoter	5
GO:0006367	transcription initiation from RNA polymerase II promoter	22
GO:0006368	transcription elongation from RNA polymerase II promoter	23
GO:0006378	mRNA polyadenylation	23
GO:0006409	tRNA export from nucleus	17
GO:0006414	translational elongation	3
GO:0006415	translational termination	3
GO:0006417	regulation of translation	23
GO:0006457	protein folding	8
GO:0006511	ubiquitin-dependent protein catabolic process	23
GO:0006606	protein import into nucleus	10
GO:0006626	protein targeting to mitochondrion	9
GO:0006810	transport	10
GO:0006826	iron ion transport	4
GO:0006888	ER to Golgi vesicle-mediated transport	16
GO:0006890	retrograde vesicle-mediated transport, Golgi to ER	12
GO:0006891	intra-Golgi vesicle-mediated transport	9
GO:0006900	membrane budding	1
GO:0006997	nucleus organization	23
GO:0006998	nuclear envelope organization	18
GO:0007004	telomere maintenance via telomerase	13
GO:0007005	mitochondrion organization	2
GO:0007017	microtubule-based process	12
GO:0007077	mitotic nuclear envelope disassembly	11
GO:0007080	mitotic metaphase plate congression	7
GO:0007088	regulation of mitotic nuclear division	23
GO:0007091	metaphase/anaphase transition of mitotic cell cycle	22
GO:0007093	mitotic cell cycle checkpoint	19
GO:0007098	centrosome cycle	5
GO:0007126	meiotic nuclear division	2
GO:0008033	tRNA processing	16
GO:0008543	fibroblast growth factor receptor signaling pathway	10
GO:0009123	nucleoside monophosphate metabolic process	1
GO:0009266	response to temperature stimulus	3
GO:0009408	response to heat	19
GO:0009451	RNA modification	4
GO:0009893	positive regulation of metabolic process	1
GO:0010389	regulation of G2/M transition of mitotic cell cycle	1
GO:0010468	regulation of gene expression	7
GO:0010501	RNA secondary structure unwinding	19
GO:0010604	positive regulation of macromolecule metabolic process	2
GO:0010833	telomere maintenance via telomere lengthening	13
GO:0010948	negative regulation of cell cycle process	21
GO:0010965	regulation of mitotic sister chromatid separation	22
GO:0016055	Wnt signaling pathway	1
GO:0016458	gene silencing	7
GO:0017038	protein import	14
GO:0017148	negative regulation of translation	1
GO:0018205	peptidyl-lysine modification	18
GO:0022411	cellular component disassembly	3
GO:0022900	electron transport chain	1
GO:0022904	respiratory electron transport chain	2
GO:0030071	regulation of mitotic metaphase/anaphase transition	20
GO:0030111	regulation of Wnt signaling pathway	11
GO:0030163	protein catabolic process	23
GO:0030261	chromosome condensation	4
GO:0030397	membrane disassembly	16
GO:0031023	microtubule organizing center organization	23
GO:0031100	animal organ regeneration	1
GO:0031325	positive regulation of cellular metabolic process	1
GO:0031349	positive regulation of defense response	7
GO:0031570	DNA integrity checkpoint	18
GO:0031577	spindle checkpoint	2
GO:0032204	regulation of telomere maintenance	9
GO:0032206	positive regulation of telomere maintenance	1
GO:0032210	regulation of telomere maintenance via telomerase	15
GO:0032268	regulation of cellular protein metabolic process	5
GO:0032269	negative regulation of cellular protein metabolic process	23
GO:0032392	DNA geometric change	23
GO:0032479	regulation of type I interferon production	22
GO:0032481	positive regulation of type I interferon production	23
GO:0032543	mitochondrial translation	3
GO:0032606	type I interferon production	22
GO:0032886	regulation of microtubule-based process	2
GO:0032984	macromolecular complex disassembly	2
GO:0033043	regulation of organelle organization	2
GO:0033045	regulation of sister chromatid segregation	23
GO:0033046	negative regulation of sister chromatid segregation	3
GO:0033047	regulation of mitotic sister chromatid segregation	16
GO:0033683	nucleotide-excision repair, DNA incision	21
GO:0034080	CENP-A containing nucleosome assembly	1
GO:0034248	regulation of cellular amide metabolic process	22
GO:0034249	negative regulation of cellular amide metabolic process	1
GO:0034502	protein localization to chromosome	22
GO:0034504	protein localization to nucleus	23
GO:0034605	cellular response to heat	13
GO:0042773	ATP synthesis coupled electron transport	2
GO:0042775	mitochondrial ATP synthesis coupled electron transport	2
GO:0043086	negative regulation of catalytic activity	18
GO:0043241	protein complex disassembly	2
GO:0043624	cellular protein complex disassembly	3
GO:0043631	RNA polyadenylation	23
GO:0043902	positive regulation of multi-organism process	20
GO:0043967	histone H4 acetylation	6
GO:0044092	negative regulation of molecular function	2
GO:0044257	cellular protein catabolic process	21
GO:0044344	cellular response to fibroblast growth factor stimulus	11
GO:0044744	protein targeting to nucleus	10
