GO.ID	Term	Annotated	Significant	Expected	classicFisher	commun
GO:0006396	RNA processing	782	228	57.01	< 1e-30	1
GO:0016071	mRNA metabolic process	577	185	42.07	< 1e-30	1
GO:0022613	ribonucleoprotein complex biogenesis	417	144	30.4	< 1e-30	1
GO:0034660	ncRNA metabolic process	501	148	36.53	< 1e-30	1
GO:0006397	mRNA processing	408	126	29.74	< 1e-30	1
GO:0008380	RNA splicing	347	114	25.3	< 1e-30	1
GO:0034641	cellular nitrogen compound metabolic process	4307	491	314	< 1e-30	1
GO:0090304	nucleic acid metabolic process	3499	432	255.09	< 1e-30	1
GO:0006139	nucleobase-containing compound metabolic process	3865	455	281.78	< 1e-30	1
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	268	97	19.54	< 1e-30	1
GO:0000398	mRNA splicing, via spliceosome	268	97	19.54	< 1e-30	1
GO:0000375	RNA splicing, via transesterification reactions	273	97	19.9	< 1e-30	1
GO:0046483	heterocycle metabolic process	3933	455	286.73	< 1e-30	1
GO:0034470	ncRNA processing	357	109	26.03	< 1e-30	1
GO:0042254	ribosome biogenesis	292	98	21.29	< 1e-30	1
GO:0006725	cellular aromatic compound metabolic process	3964	455	288.99	< 1e-30	1
GO:0006807	nitrogen compound metabolic process	4524	494	329.82	< 1e-30	1
GO:0016072	rRNA metabolic process	244	89	17.79	< 1e-30	1
GO:0006364	rRNA processing	240	88	17.5	< 1e-30	1
GO:1901360	organic cyclic compound metabolic process	4056	460	295.7	< 1e-30	1
GO:0000278	mitotic cell cycle	774	162	56.43	< 1e-30	1
GO:1903047	mitotic cell cycle process	726	156	52.93	< 1e-30	1
GO:0044260	cellular macromolecule metabolic process	5246	530	382.46	< 1e-30	1
GO:0019080	viral gene expression	179	71	13.05	< 1e-30	1
GO:0044033	multi-organism metabolic process	194	73	14.14	< 1e-30	1
GO:0022402	cell cycle process	1018	183	74.22	< 1e-30	1
GO:0010467	gene expression	3614	414	263.48	< 1e-30	1
GO:0007049	cell cycle	1264	208	92.15	< 1e-30	1
GO:0016070	RNA metabolic process	3168	378	230.96	< 1e-30	1
GO:0006413	translational initiation	167	66	12.18	< 1e-30	1
GO:0019083	viral transcription	168	66	12.25	< 1e-30	1
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	114	54	8.31	< 1e-30	1
GO:0000956	nuclear-transcribed mRNA catabolic process	187	68	13.63	< 1e-30	1
GO:0044770	cell cycle phase transition	441	107	32.15	1.3e-30	1
GO:0044772	mitotic cell cycle phase transition	420	104	30.62	1.5e-30	1
GO:0043170	macromolecule metabolic process	5522	534	402.58	5.1e-29	1
GO:0006401	RNA catabolic process	223	72	16.26	6.1e-29	1
GO:0006402	mRNA catabolic process	200	68	14.58	6.7e-29	1
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	93	46	6.78	3.5e-28	1
GO:0045047	protein targeting to ER	99	47	7.22	9.4e-28	1
GO:0044085	cellular component biogenesis	1949	261	142.09	1.0e-27	1
GO:0006613	cotranslational protein targeting to membrane	98	46	7.14	6.5e-27	1
GO:0072599	establishment of protein localization to endoplasmic reticulum	103	47	7.51	8.6e-27	1
GO:0019058	viral life cycle	349	88	25.44	2.0e-26	1
GO:0022618	ribonucleoprotein complex assembly	183	62	13.34	2.6e-26	1
GO:0071826	ribonucleoprotein complex subunit organization	189	63	13.78	2.8e-26	1
GO:0034655	nucleobase-containing compound catabolic process	284	77	20.7	2.4e-25	1
GO:0070972	protein localization to endoplasmic reticulum	115	48	8.38	3.3e-25	1
GO:0044265	cellular macromolecule catabolic process	715	132	52.13	3.3e-25	1
GO:0016032	viral process	690	129	50.3	3.9e-25	1
GO:0044764	multi-organism cellular process	693	129	50.52	5.9e-25	1
GO:0051437	positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition	72	38	5.25	8.4e-25	1
GO:0044403	symbiosis, encompassing mutualism through parasitism	707	130	51.54	1.2e-24	1
GO:0044419	interspecies interaction between organisms	707	130	51.54	1.2e-24	1
GO:0031145	anaphase-promoting complex-dependent catabolic process	74	38	5.39	3.1e-24	1
GO:0044237	cellular metabolic process	6166	562	449.53	5.2e-24	1
GO:0051439	regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	71	37	5.18	6.4e-24	1
GO:0046700	heterocycle catabolic process	298	77	21.73	6.8e-24	1
GO:0044238	primary metabolic process	6122	559	446.32	7.3e-24	1
GO:1904666	regulation of ubiquitin protein ligase activity	80	39	5.83	9.4e-24	1
GO:0044270	cellular nitrogen compound catabolic process	300	77	21.87	1.1e-23	1
GO:1904668	positive regulation of ubiquitin protein ligase activity	76	38	5.54	1.1e-23	1
GO:1904667	negative regulation of ubiquitin protein ligase activity	72	37	5.25	1.2e-23	1
