#SOURCE	#TARGET	#LINK
Lung Cancer	Pancreatic Cancer	107
Pancreatic Cancer	Pancreatic Cancer	68
Lung Cancer	Lung Cancer	43
Lung Cancer	Ovarian Cancer	43
Ovarian Cancer	Brain Cancer	37
Leukemia	Leukemia	33
Ovarian Cancer	Ovarian Cancer	27
Ovarian Cancer	Pancreatic Cancer	22
Pancreatic Cancer	Neuroblastoma	19
Colon/Colorectal Cancer	Pancreatic Cancer	16
Bladder Cancer	Ovarian Cancer	16
Ovarian Cancer	Breast Cancer	16
Ovarian Cancer	Endometrial/Uterine Cancer	16
Skin Cancer	Skin Cancer	14
Neuroblastoma	Neuroblastoma	14
Lung Cancer	Neuroblastoma	12
Ovarian Cancer	Bone Cancer	12
Brain Cancer	Brain Cancer	12
Head and Neck Cancer	Head and Neck Cancer	12
Ovarian Cancer	Sarcoma	11
Pancreatic Cancer	Brain Cancer	11
Head and Neck Cancer	Esophageal Cancer	11
Colon/Colorectal Cancer	Lung Cancer	9
Ovarian Cancer	Skin Cancer	9
Ovarian Cancer	Liver Cancer	9
Breast Cancer	Pancreatic Cancer	9
Lymphoma	Lymphoma	9
Colon/Colorectal Cancer	Ovarian Cancer	8
Lung Cancer	Breast Cancer	8
Ovarian Cancer	Gastric Cancer	8
Ovarian Cancer	Neuroblastoma	8
Ovarian Cancer	Esophageal Cancer	8
Skin Cancer	Brain Cancer	8
Kidney Cancer	Kidney Cancer	8
Lung Cancer	Esophageal Cancer	7
Ovarian Cancer	Rhabdoid	7
Ovarian Cancer	Head and Neck Cancer	7
Esophageal Cancer	Esophageal Cancer	7
Leukemia	Lymphoma	6
Skin Cancer	Head and Neck Cancer	6
Leukemia	Lung Cancer	5
Leukemia	Pancreatic Cancer	5
Ovarian Cancer	Kidney Cancer	5
Pancreatic Cancer	Kidney Cancer	5
Ovarian Cancer	Cervical Cancer	4
Breast Cancer	Brain Cancer	4
Pancreatic Cancer	Sarcoma	4
Pancreatic Cancer	Rhabdoid	4
Pancreatic Cancer	Endometrial/Uterine Cancer	4
Pancreatic Cancer	Esophageal Cancer	4
Brain Cancer	Eye Cancer	4
Rhabdoid	Esophageal Cancer	4
Leukemia	Neuroblastoma	3
Colon/Colorectal Cancer	Neuroblastoma	3
Bladder Cancer	Skin Cancer	3
Bladder Cancer	Breast Cancer	3
Bladder Cancer	Pancreatic Cancer	3
Lung Cancer	Brain Cancer	3
Lung Cancer	Liver Cancer	3
Lung Cancer	Cervical Cancer	3
Skin Cancer	Pancreatic Cancer	3
Skin Cancer	Esophageal Cancer	3
Skin Cancer	Eye Cancer	3
Breast Cancer	Breast Cancer	3
Breast Cancer	Head and Neck Cancer	3
Pancreatic Cancer	Gastric Cancer	3
Pancreatic Cancer	Liver Cancer	3
Brain Cancer	Head and Neck Cancer	3
Brain Cancer	Liver Cancer	3
Brain Cancer	Endometrial/Uterine Cancer	3
Brain Cancer	Esophageal Cancer	3
Sarcoma	Sarcoma	3
Bone Cancer	Bone Cancer	3
Rhabdoid	Head and Neck Cancer	3
Liver Cancer	Liver Cancer	3
Leukemia	Kidney Cancer	2
Colon/Colorectal Cancer	Colon/Colorectal Cancer	2
Bladder Cancer	Lung Cancer	2
Lung Cancer	Rhabdoid	2
Lung Cancer	Eye Cancer	2
Ovarian Cancer	Eye Cancer	2
