GO.ID	Term	n
GO:0000027	ribosomal large subunit assembly	24
GO:0000070	mitotic sister chromatid segregation	24
GO:0000075	cell cycle checkpoint	24
GO:0000082	G1/S transition of mitotic cell cycle	24
GO:0000086	G2/M transition of mitotic cell cycle	24
GO:0000184	nuclear-transcribed mRNA catabolic proce...	24
GO:0000209	protein polyubiquitination	24
GO:0000226	microtubule cytoskeleton organization	24
GO:0000245	spliceosomal complex assembly	24
GO:0000278	mitotic cell cycle	24
GO:0000280	nuclear division	24
GO:0000375	RNA splicing, via transesterification re...	24
GO:0000377	RNA splicing, via transesterification re...	24
GO:0000387	spliceosomal snRNP assembly	24
GO:0000398	mRNA splicing, via spliceosome	24
GO:0000462	maturation of SSU-rRNA from tricistronic...	24
GO:0000470	maturation of LSU-rRNA	24
GO:0000722	telomere maintenance via recombination	24
GO:0000723	telomere maintenance	24
GO:0000731	DNA synthesis involved in DNA repair	24
GO:0000819	sister chromatid segregation	24
GO:0000956	nuclear-transcribed mRNA catabolic proce...	24
GO:0001731	formation of translation preinitiation c...	24
GO:0001736	establishment of planar polarity	24
GO:0001738	morphogenesis of a polarized epithelium	24
GO:0002181	cytoplasmic translation	24
GO:0002218	activation of innate immune response	24
GO:0002220	innate immune response activating cell s...	24
GO:0002223	stimulatory C-type lectin receptor signa...	24
GO:0002474	antigen processing and presentation of p...	24
GO:0002478	antigen processing and presentation of e...	24
GO:0002479	antigen processing and presentation of e...	24
GO:0002758	innate immune response-activating signal...	24
GO:0006139	nucleobase-containing compound metabolic...	24
GO:0006259	DNA metabolic process	24
GO:0006260	DNA replication	24
GO:0006261	DNA-dependent DNA replication	24
GO:0006270	DNA replication initiation	24
GO:0006281	DNA repair	24
GO:0006283	transcription-coupled nucleotide-excisio...	24
GO:0006289	nucleotide-excision repair	24
GO:0006297	nucleotide-excision repair, DNA gap fill...	24
GO:0006301	postreplication repair	24
GO:0006310	DNA recombination	24
GO:0006312	mitotic recombination	24
GO:0006352	DNA-templated transcription, initiation	24
GO:0006353	DNA-templated transcription, termination	24
GO:0006354	DNA-templated transcription, elongation	24
GO:0006361	transcription initiation from RNA polyme...	24
GO:0006362	transcription elongation from RNA polyme...	24
GO:0006363	termination of RNA polymerase I transcri...	24
GO:0006364	rRNA processing	24
GO:0006369	termination of RNA polymerase II transcr...	24
GO:0006370	7-methylguanosine mRNA capping	24
GO:0006383	transcription from RNA polymerase III pr...	24
GO:0006396	RNA processing	24
GO:0006397	mRNA processing	24
GO:0006399	tRNA metabolic process	24
GO:0006401	RNA catabolic process	24
GO:0006402	mRNA catabolic process	24
GO:0006403	RNA localization	24
GO:0006405	RNA export from nucleus	24
GO:0006406	mRNA export from nucleus	24
GO:0006412	translation	24
GO:0006413	translational initiation	24
GO:0006418	tRNA aminoacylation for protein translat...	24
GO:0006446	regulation of translational initiation	24
GO:0006518	peptide metabolic process	24
GO:0006520	cellular amino acid metabolic process	24
GO:0006521	regulation of cellular amino acid metabo...	24
GO:0006605	protein targeting	24
GO:0006612	protein targeting to membrane	24
GO:0006613	cotranslational protein targeting to mem...	24
GO:0006614	SRP-dependent cotranslational protein ta...	24
GO:0006725	cellular aromatic compound metabolic pro...	24
GO:0006807	nitrogen compound metabolic process	24
GO:0006886	intracellular protein transport	24
GO:0006913	nucleocytoplasmic transport	24
GO:0006974	cellular response to DNA damage stimulus	24
GO:0006996	organelle organization	24
GO:0007049	cell cycle	24
GO:0007051	spindle organization	24
GO:0007052	mitotic spindle organization	24
GO:0007059	chromosome segregation	24
GO:0007062	sister chromatid cohesion	24
GO:0007067	mitotic nuclear division	24
GO:0007164	establishment of tissue polarity	24
GO:0007346	regulation of mitotic cell cycle	24
GO:0008104	protein localization	24
GO:0008152	metabolic process	24
GO:0008380	RNA splicing	24
GO:0009056	catabolic process	24
GO:0009057	macromolecule catabolic process	24
GO:0009058	biosynthetic process	24
GO:0009059	macromolecule biosynthetic process	24
GO:0009301	snRNA transcription	24
GO:0009308	amine metabolic process	24
GO:0009452	7-methylguanosine RNA capping	24
GO:0009894	regulation of catabolic process	24
GO:0009896	positive regulation of catabolic process	24
GO:0009987	cellular process	24
GO:0010467	gene expression	24
GO:0010498	proteasomal protein catabolic process	24
GO:0010564	regulation of cell cycle process	24
GO:0010565	regulation of cellular ketone metabolic ...	24
GO:0010608	posttranscriptional regulation of gene e...	24
GO:0015031	protein transport	24
GO:0015931	nucleobase-containing compound transport	24
GO:0016032	viral process	24
GO:0016043	cellular component organization	24
GO:0016070	RNA metabolic process	24
GO:0016071	mRNA metabolic process	24
GO:0016072	rRNA metabolic process	24
GO:0016073	snRNA metabolic process	24
GO:0016567	protein ubiquitination	24
GO:0016925	protein sumoylation	24
GO:0018130	heterocycle biosynthetic process	24
GO:0019058	viral life cycle	24
GO:0019080	viral gene expression	24
GO:0019083	viral transcription	24
GO:0019438	aromatic compound biosynthetic process	24
GO:0019439	aromatic compound catabolic process	24
GO:0019538	protein metabolic process	24
GO:0019882	antigen processing and presentation	24
GO:0019884	antigen processing and presentation of e...	24
GO:0019941	modification-dependent protein catabolic...	24
GO:0019985	translesion synthesis	24
GO:0022402	cell cycle process	24
GO:0022607	cellular component assembly	24
