0.25	1.0
0.251	1.0
0.252	1.0
0.253	1.0
0.254	1.0
0.255	1.0
0.256	1.0
0.257	1.0
0.258	1.0
0.259	1.0
0.26	1.0
0.261	1.0
0.262	1.0
0.263	1.0
0.264	1.0
0.265	1.0
0.266	1.0
0.267	1.0
0.268	1.0
0.269	1.0
0.27	1.0
0.271	1.0
0.272	1.0
0.273	1.0
0.274	1.0
0.275	1.0
0.276	1.0
0.277	1.0
0.278	1.0
0.279	1.0
0.28	1.0
0.281	1.0
0.282	1.0
0.283	1.0
0.284	1.0
0.285	1.0
0.286	1.0
0.287	1.0
0.288	1.0
0.289	1.0
0.29	1.0
0.291	1.0
0.292	1.0
0.293	1.0
0.294	1.0
0.295	1.0
0.296	1.0
0.297	3.0
0.298	3.0
0.299	3.0
0.3	4.0
0.301	5.0
0.302	5.0
0.303	5.0
0.304	5.0
0.305	6.0
0.306	7.0
0.307	8.0
0.308	8.0
0.309	10.0
0.31	11.0
0.311	11.0
0.312	11.0
0.313	11.0
0.314	11.0
0.315	14.0
0.316	15.0
0.317	16.0
0.318	14.0
0.319	14.0
0.32	17.0
0.321	20.0
0.322	19.0
0.323	15.0
0.324	14.0
0.325	14.0
0.326	10.0
0.327	10.0
0.328	8.0
0.329	7.0
0.33	4.0
0.331	4.0
0.332	3.0
0.333	2.0
0.334	1.0
0.335	1.0
0.336	1.0
0.337	1.0
0.338	1.0
0.339	1.0
0.34	1.0
0.341	1.0
0.342	1.0
0.343	1.0
0.344	1.0
0.345	1.0
0.346	1.0
0.347	1.0
0.348	1.0
0.349	1.0
0.35	1.0
