name	infomap
ACH-000012	1
ACH-000013	1
ACH-000015	1
ACH-000021	1
ACH-000022	1
ACH-000029	1
ACH-000030	1
ACH-000042	1
ACH-000047	1
ACH-000053	1
ACH-000054	1
ACH-000092	1
ACH-000095	1
ACH-000097	1
ACH-000098	1
ACH-000099	1
ACH-000108	1
ACH-000113	1
ACH-000116	1
ACH-000118	1
ACH-000123	1
ACH-000127	1
ACH-000138	1
ACH-000146	1
ACH-000148	1
ACH-000152	1
ACH-000159	1
ACH-000160	2
ACH-000169	1
ACH-000178	1
ACH-000182	1
ACH-000190	2
ACH-000198	1
ACH-000211	1
ACH-000215	1
ACH-000217	1
ACH-000223	1
ACH-000231	1
ACH-000232	1
ACH-000233	1
ACH-000235	1
ACH-000237	1
ACH-000243	1
ACH-000250	1
ACH-000253	1
ACH-000255	1
ACH-000259	1
ACH-000260	1
ACH-000261	1
ACH-000264	1
ACH-000265	1
ACH-000266	1
ACH-000273	1
ACH-000274	1
ACH-000279	1
ACH-000288	1
ACH-000290	1
ACH-000291	1
ACH-000302	1
ACH-000307	1
ACH-000308	1
ACH-000312	1
ACH-000324	1
ACH-000331	1
ACH-000332	1
ACH-000339	1
ACH-000348	1
ACH-000352	1
ACH-000362	1
ACH-000365	1
ACH-000366	1
ACH-000376	1
ACH-000383	1
ACH-000387	1
ACH-000390	1
ACH-000393	1
ACH-000397	1
ACH-000403	1
ACH-000406	1
ACH-000410	1
ACH-000414	1
ACH-000415	1
ACH-000416	1
ACH-000421	1
ACH-000425	1
ACH-000437	1
ACH-000448	1
ACH-000452	1
ACH-000460	1
ACH-000463	1
ACH-000471	1
ACH-000472	1
ACH-000475	1
ACH-000478	1
ACH-000481	1
ACH-000486	1
ACH-000488	1
ACH-000502	1
ACH-000505	1
ACH-000507	1
ACH-000510	1
ACH-000511	1
ACH-000517	1
ACH-000522	1
ACH-000524	1
ACH-000527	1
ACH-000528	1
ACH-000542	1
ACH-000552	1
ACH-000556	1
ACH-000571	1
ACH-000573	1
ACH-000584	1
ACH-000585	1
ACH-000589	1
ACH-000601	1
ACH-000606	1
ACH-000608	1
ACH-000616	1
ACH-000618	1
ACH-000620	1
ACH-000621	1
ACH-000623	1
ACH-000624	1
ACH-000630	1
ACH-000632	1
ACH-000633	1
ACH-000638	1
ACH-000639	1
ACH-000647	1
ACH-000649	1
ACH-000651	1
ACH-000655	1
ACH-000657	1
ACH-000665	1
ACH-000673	1
ACH-000676	1
ACH-000681	1
ACH-000682	1
ACH-000683	1
ACH-000693	1
ACH-000694	1
ACH-000696	1
ACH-000699	1
ACH-000706	1
ACH-000711	1
ACH-000720	1
ACH-000721	1
ACH-000734	1
ACH-000735	1
ACH-000738	1
ACH-000753	1
ACH-000760	1
ACH-000770	1
ACH-000771	1
ACH-000781	1
ACH-000784	1
ACH-000785	1
ACH-000787	1
ACH-000788	1
ACH-000791	1
ACH-000792	1
ACH-000793	1
ACH-000794	1
ACH-000796	1
ACH-000802	1
ACH-000809	1
ACH-000811	1
ACH-000819	1
ACH-000823	1
ACH-000824	1
ACH-000827	1
ACH-000831	1
ACH-000835	1
ACH-000836	2
ACH-000837	1
ACH-000853	1
ACH-000858	1
ACH-000865	1
ACH-000866	1
ACH-000867	1
ACH-000872	1
ACH-000881	1
ACH-000882	1
ACH-000884	1
ACH-000887	1
ACH-000888	1
ACH-000889	1
ACH-000896	1
ACH-000900	1
ACH-000901	1
ACH-000905	1
ACH-000906	1
ACH-000910	1
ACH-000911	1
ACH-000912	1
ACH-000913	1
ACH-000914	1
ACH-000921	1
ACH-000924	1
ACH-000932	1
ACH-000937	1
ACH-000939	2
ACH-000943	1
ACH-000946	1
ACH-000947	1
ACH-000948	1
ACH-000953	1
ACH-000960	1
ACH-000965	1
ACH-000973	1
ACH-000974	1
ACH-000975	1
ACH-000980	1
ACH-000984	1
ACH-001001	1
ACH-001020	2
ACH-001028	1
ACH-001038	1
ACH-001048	1
ACH-001050	1
ACH-001061	1
ACH-001151	1
ACH-001173	1
ACH-001295	1
ACH-001328	1
ACH-001329	1
ACH-001336	1
ACH-001340	1
ACH-001346	1
ACH-001353	1
ACH-001368	1
ACH-001377	1
ACH-001380	1
ACH-001407	1
ACH-001412	1
ACH-001523	1
ACH-001524	1
ACH-001532	1
ACH-001550	2
ACH-001554	1
ACH-001650	1
ACH-001654	1
ACH-001735	1
ACH-001736	1
ACH-001765	1
ACH-001956	1
ACH-001957	1
