#SOURCE	#TARGET	#LINK
Pancreatic Cancer	Pancreatic Cancer	37
Lung Cancer	Pancreatic Cancer	35
Leukemia	Leukemia	15
Lung Cancer	Lung Cancer	12
Neuroblastoma	Neuroblastoma	8
Pancreatic Cancer	Neuroblastoma	7
Ovarian Cancer	Ovarian Cancer	5
Ovarian Cancer	Brain Cancer	5
Lung Cancer	Ovarian Cancer	4
Colon/Colorectal Cancer	Lung Cancer	3
Colon/Colorectal Cancer	Pancreatic Cancer	3
Kidney Cancer	Kidney Cancer	3
Head and Neck Cancer	Head and Neck Cancer	3
Lung Cancer	Neuroblastoma	2
Ovarian Cancer	Pancreatic Cancer	2
Ovarian Cancer	Endometrial/Uterine Cancer	2
Ovarian Cancer	Eye Cancer	2
Breast Cancer	Breast Cancer	2
Pancreatic Cancer	Sarcoma	2
Lymphoma	Lymphoma	2
Rhabdoid	Esophageal Cancer	2
Esophageal Cancer	Esophageal Cancer	2
Leukemia	Lymphoma	1
Colon/Colorectal Cancer	Breast Cancer	1
Bladder Cancer	Pancreatic Cancer	1
Bladder Cancer	Head and Neck Cancer	1
Bladder Cancer	Eye Cancer	1
Lung Cancer	Breast Cancer	1
Lung Cancer	Eye Cancer	1
Ovarian Cancer	Breast Cancer	1
Ovarian Cancer	Sarcoma	1
Ovarian Cancer	Bone Cancer	1
Ovarian Cancer	Neuroblastoma	1
Ovarian Cancer	Rhabdoid	1
Ovarian Cancer	Liver Cancer	1
Skin Cancer	Skin Cancer	1
Skin Cancer	Pancreatic Cancer	1
Skin Cancer	Sarcoma	1
Skin Cancer	Lymphoma	1
Skin Cancer	Rhabdoid	1
Skin Cancer	Esophageal Cancer	1
Skin Cancer	Eye Cancer	1
Breast Cancer	Pancreatic Cancer	1
Pancreatic Cancer	Endometrial/Uterine Cancer	1
Pancreatic Cancer	Esophageal Cancer	1
Brain Cancer	Neuroblastoma	1
Brain Cancer	Eye Cancer	1
Sarcoma	Sarcoma	1
Sarcoma	Head and Neck Cancer	1
Sarcoma	Esophageal Cancer	1
