#CANCER_Subtype	#OCCURANCE
Adenocarcinoma	30
NSCLC-Adenocarcinoma	17
Squamous Cell Carcinoma	9
Carcinoma	8
AML	8
Neuroblastoma	7
ALL	7
Rhabdomyosarcoma	4
Melanoma	3
Non-Hodgkins, T-cell	2
Medulloblastoma	2
Adenosquamous Carcinoma	2
Renal Cell Carcinoma	2
Non-Hodgkins, B-cell	2
Renal Carcinoma, clear cell	2
NSCLC-Large Cell	2
Transitional Cell Carcinoma	2
Atypical Teratoid Rhabdoid Tumor (ATRT)	1
Hodgkins	1
Hepatocellular Carcinoma	1
Carcinoma, brenner	1
SCLC	1
Mesothelioma	1
Glioma	1
Carcinoma, mucoepidermoid	1
Leiomyosarcoma	1
Osteosarcoma	1
Meningioma	1
Synovial	1
Retinoblastoma	1
Glioblastoma	1
Malignant Rhabdoid Tumor	1
Merkel Cell Carcinoma	1
Uveal Melanoma	1
