DepMap_ID,CCLE_Name,Aliases,COSMIC_ID,Sanger ID,Primary Disease,Subtype Disease,Gender,Source
ACH-000001,NIHOVCAR3_OVARY,NIH:OVCAR-3;OVCAR3,905933,2201,Ovarian Cancer,"Adenocarcinoma, high grade serous",Female,ATCC
ACH-000002,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HL-60,905938,55,Leukemia,"Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)",Female,ATCC
ACH-000003,CACO2_LARGE_INTESTINE,CACO2;CACO2;CaCo-2,,,Colon/Colorectal Cancer,Colon Adenocarcinoma,-1,
ACH-000004,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,907053,783,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",Male,DSMZ
ACH-000005,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL 92.1.7,,,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",Male,ATCC
ACH-000006,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MONO-MAC-6,908148,2167,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Monocytic)",Male,DSMZ
ACH-000007,LS513_LARGE_INTESTINE,LS513,907795,569,Colon/Colorectal Cancer,Colon Carcinoma,Male,ATCC
ACH-000009,C2BBE1_LARGE_INTESTINE,C2BBe1,910700,2104,Colon/Colorectal Cancer,Colon Adenocarcinoma,Male,ATCC
ACH-000010,NCIH2077_LUNG,NCI-H2077;NCI-H1581,,,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,
ACH-000011,253J_URINARY_TRACT,253J,,,Bladder Cancer,Carcinoma,,KCLB
ACH-000012,HCC827_LUNG,HCC827,1240146,354,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Female,ATCC
ACH-000013,ONCODG1_OVARY,ONCO-DG-1,,,Ovarian Cancer,Adenocarcinoma,Female,DSMZ
ACH-000014,HS294T_SKIN,Hs 294T;A101D;Hs 294.T,,,Skin Cancer,Melanoma,Male,ATCC
ACH-000015,NCIH1581_LUNG,NCI-H1581;NCI-H2077,908471,1237,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",Male,ATCC
ACH-000016,SLR21_KIDNEY,SLR 21,,,Kidney Cancer,Renal Cell Carcinoma,,
ACH-000017,SKBR3_BREAST,SK-BR-3,,,Breast Cancer,Carcinoma,Female,ATCC
ACH-000018,T24_URINARY_TRACT,T24,724812,1455,Bladder Cancer,Carcinoma,Female,ATCC
ACH-000019,MCF7_BREAST,MCF7,905946,588,Breast Cancer,Carcinoma,Female,ATCC
ACH-000492,MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MUTZ-5,,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",Male,DSMZ
ACH-000021,NCIH1693_LUNG,NCI-H1693,687802,634,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Female,ATCC
ACH-000022,PATU8988S_PANCREAS,PA-TU-8988S,,,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",Female,DSMZ
ACH-000023,PATU8988T_PANCREAS,PA-TU-8988T,1240201,1242,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",Female,DSMZ
ACH-000024,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OPM-2,909249,112,Myeloma,Multiple Myeloma,Female,DSMZ
ACH-000036,U343_CENTRAL_NERVOUS_SYSTEM,U343,,,Brain Cancer,Glioblastoma,,
ACH-000026,253JBV_URINARY_TRACT,253J-BV,,,Bladder Cancer,Carcinoma,,
ACH-000027,GOS3_CENTRAL_NERVOUS_SYSTEM,GOS-3,,,Brain Cancer,Glioblastoma,Male,DSMZ
ACH-000028,KPL1_BREAST,KPL-1,,,Breast Cancer,Carcinoma,Female,DSMZ
ACH-000053,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KARPAS-299,907273,906,Lymphoma,"T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",Male,ECAAC
ACH-000030,PC14_LUNG,PC-14,753608,198,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,RIKEN
ACH-000031,PANC0213_PANCREAS,Panc 02.13,,,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",Female,ATCC
ACH-000032,MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MHH-CALL-3,,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",Female,DSMZ
ACH-000033,NCIH1819_LUNG,NCI-H1819,,,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",-1,
ACH-000034,PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PLB985;PLB-985,,,Leukemia,Acute Myelogenous Leukemia (AML),,
ACH-000035,NCIH1650_LUNG,NCI-H1650,687800,1548,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Bronchoalveolar Carcinoma",Male,ATCC
ACH-000127,SLR20_KIDNEY,SLR 20,,,Kidney Cancer,Renal Cell Carcinoma,,
ACH-000037,S117_THYROID,S-117,,,Sarcoma,Unknown,Female,DSMZ
ACH-000371,RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RL,910861,1273,Lymphoma,"B-cell, Non-Hodgkins",Male,ATCC
ACH-000052,A673_BONE,A-673,684052,660,Bone Cancer,Ewings Sarcoma,Female,ATCC
ACH-000040,U118MG_CENTRAL_NERVOUS_SYSTEM,U-118 MG,687588,7,Brain Cancer,Glioblastoma,,ATCC
ACH-000210,CADOES1_BONE,CADO-ES1;CADO-ES-1,753539,1523,Bone Cancer,Ewings Sarcoma,Female,DSMZ
ACH-000042,PANC0203_PANCREAS,Panc 02.03,1298475,1838,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",Female,ATCC
ACH-000043,HS895T_FIBROBLAST,Hs 895.T,,,Fibroblast,malignant_melanoma,Female,ATCC
ACH-001393,SUM190PT_BREAST,,,,Breast Cancer,Carcinoma,Female,
ACH-000045,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV4;11;MV-4-11,908156,133,Leukemia,Acute Myelogenous Leukemia (AML),Male,ATCC
ACH-000046,ACHN_KIDNEY,ACHN,905950,371,Kidney Cancer,Renal Cell Adenocarcinoma,Male,ATCC
ACH-000047,GCIY_STOMACH,GCIY,906869,1414,Gastric Cancer,Adenocarcinoma,Female,RIKEN
ACH-000048,TOV112D_OVARY,TOV-112D,1299070,5,Ovarian Cancer,"Adenocarcinoma, endometrioid",Female,ATCC
ACH-000049,HEKTE_KIDNEY,HEK TE,,,Kidney Cancer,Immortalized,,
ACH-000050,NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NCI-H929,724825,1230,Myeloma,"Multiple Myeloma, plasmacytoma",Female,ATCC
ACH-000051,TE617T_SOFT_TISSUE,TE 617.T,,,Sarcoma,Rhabdomyosarcoma,Female,ATCC
ACH-001022,CBAGPN_BONE,,,,Bone Cancer,Ewings Sarcoma,,
ACH-000169,RD_SOFT_TISSUE,RD,909264,1763,Sarcoma,"Rhabdomyosarcoma, embryonal",Female,ATCC
ACH-000054,HT1080_SOFT_TISSUE,HT-1080,907064,1391,Sarcoma,Fibrosarcoma,Male,ATCC
ACH-000055,D283MED_CENTRAL_NERVOUS_SYSTEM,D283 Med;D283,906834,1184,Brain Cancer,Medulloblastoma,Male,ATCC
ACH-000056,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DOHH-2,906842,1339,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),Male,DSMZ
ACH-000057,OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OPM-1,,,Myeloma,Multiple Myeloma,-1,
ACH-000058,ML1_THYROID,ML-1,1240178,1227,Thyroid Cancer,"Carcinoma, follicular",,DSMZ
ACH-000156,MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MHH-CALL-4,908133,2070,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",Male,DSMZ
ACH-000060,PANC1005_PANCREAS,Panc 10.05,925348,197,Pancreatic Cancer,Carcinoma,Male,ATCC
ACH-000061,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HH,907056,310,Lymphoma,"T-cell, Non-Hodgkins, Cutaneous",Male,ATCC
ACH-000062,RERFLCMS_LUNG,RERF-LC-MS,910931,2051,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,JCRB
ACH-000063,HS616T_FIBROBLAST,,,,Lymphoma,"B-Cell, Hodgkins",Male,
ACH-000064,SALE_LUNG,SALE,,,Lung Cancer,Immortalized,,
ACH-000065,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-AML5,1330983,2130,Leukemia,Acute Myelogenous Leukemia (AML),Male,DSMZ
ACH-000066,HCC4006_LUNG,HCC4006,,,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Male,ATCC
ACH-000067,HS683_CENTRAL_NERVOUS_SYSTEM,Hs 683,1240150,769,Brain Cancer,Glioma,Male,ATCC
ACH-000069,HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Hs 611.T,,,Lymphoma,"B-cell, Hodgkins",Female,ATCC
ACH-001498,FARAGE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1297449,1772,Lymphoma,"B-cell, Non-Hodgkins",Female,
ACH-000071,HS706T_BONE,,,,fibroblast,giant_cell_tumor,Female,ATCC
ACH-000072,MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MEG-01,908126,1263,Leukemia,Chronic Myelogenous Leukemia (CML),Male,ATCC
ACH-000220,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Mino,,,Lymphoma,"B-cell, Non-Hodgkins, Mantle Cell",Male,ATCC
ACH-000074,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KU812,907311,598,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",Male,ATCC
ACH-000075,U87MG_CENTRAL_NERVOUS_SYSTEM,U-87 MG,687590,549,Brain Cancer,Glioblastoma,Female,ATCC
