GO.ID	Term	n
GO:0000028	ribosomal small subunit assembly	14
GO:0000054	ribosomal subunit export from nucleus	21
GO:0000076	DNA replication checkpoint	10
GO:0000077	DNA damage checkpoint	6
GO:0000083	regulation of transcription involved in ...	22
GO:0000154	rRNA modification	18
GO:0000244	spliceosomal tri-snRNP complex assembly	16
GO:0000288	nuclear-transcribed mRNA catabolic proce...	16
GO:0000291	nuclear-transcribed mRNA catabolic proce...	16
GO:0000380	alternative mRNA splicing, via spliceoso...	6
GO:0000394	RNA splicing, via endonucleolytic cleava...	1
GO:0000460	maturation of 5.8S rRNA	23
GO:0000463	maturation of LSU-rRNA from tricistronic...	19
GO:0000466	maturation of 5.8S rRNA from tricistroni...	20
GO:0000469	cleavage involved in rRNA processing	22
GO:0000478	endonucleolytic cleavage involved in rRN...	20
GO:0000479	endonucleolytic cleavage of tricistronic...	20
GO:0000715	nucleotide-excision repair, DNA damage r...	13
GO:0000724	double-strand break repair via homologou...	16
GO:0000725	recombinational repair	15
GO:0000959	mitochondrial RNA metabolic process	1
GO:0001682	tRNA 5'-leader removal	4
GO:0001824	blastocyst development	21
GO:0001832	blastocyst growth	16
GO:0001833	inner cell mass cell proliferation	16
GO:0002183	cytoplasmic translational initiation	7
GO:0002190	cap-independent translational initiation	1
GO:0002192	IRES-dependent translational initiation	1
GO:0002429	immune response-activating cell surface ...	18
GO:0002768	immune response-regulating cell surface ...	9
GO:0006119	oxidative phosphorylation	1
GO:0006122	mitochondrial electron transport, ubiqui...	2
GO:0006271	DNA strand elongation involved in DNA re...	23
GO:0006275	regulation of DNA replication	8
GO:0006278	RNA-dependent DNA biosynthetic process	13
GO:0006284	base-excision repair	1
GO:0006294	nucleotide-excision repair, preincision ...	12
GO:0006296	nucleotide-excision repair, DNA incision...	21
GO:0006302	double-strand break repair	1
GO:0006323	DNA packaging	6
GO:0006356	regulation of transcription from RNA pol...	2
GO:0006360	transcription from RNA polymerase I prom...	23
GO:0006366	transcription from RNA polymerase II pro...	5
GO:0006367	transcription initiation from RNA polyme...	22
GO:0006368	transcription elongation from RNA polyme...	23
GO:0006376	mRNA splice site selection	22
GO:0006378	mRNA polyadenylation	23
GO:0006379	mRNA cleavage	22
GO:0006388	tRNA splicing, via endonucleolytic cleav...	1
GO:0006409	tRNA export from nucleus	17
GO:0006414	translational elongation	3
GO:0006415	translational termination	3
GO:0006417	regulation of translation	23
GO:0006448	regulation of translational elongation	12
GO:0006450	regulation of translational fidelity	12
GO:0006457	protein folding	8
GO:0006488	dolichol-linked oligosaccharide biosynth...	4
GO:0006490	oligosaccharide-lipid intermediate biosy...	4
GO:0006511	ubiquitin-dependent protein catabolic pr...	23
GO:0006606	protein import into nucleus	10
GO:0006626	protein targeting to mitochondrion	9
GO:0006734	NADH metabolic process	1
GO:0006735	NADH regeneration	1
GO:0006810	transport	10
