#SOURCE	#TARGET	#LINK
Leukemia	Leukemia	4
Pancreatic Cancer	Pancreatic Cancer	3
Skin Cancer	Skin Cancer	2
Skin Cancer	Esophageal Cancer	2
Pancreatic Cancer	Lung Cancer	2
Esophageal Cancer	Esophageal Cancer	2
Esophageal Cancer	Rhabdoid	2
Ovarian Cancer	Lung Cancer	2
Skin Cancer	Brain Cancer	1
Skin Cancer	Rhabdoid	1
Neuroblastoma	Neuroblastoma	1
Breast Cancer	Breast Cancer	1
Breast Cancer	Ovarian Cancer	1
Head and Neck Cancer	Head and Neck Cancer	1
Head and Neck Cancer	Esophageal Cancer	1
Brain Cancer	Eye Cancer	1
Pancreatic Cancer	Esophageal Cancer	1
Pancreatic Cancer	Endometrial/Uterine Cancer	1
Esophageal Cancer	Colon/Colorectal Cancer	1
Esophageal Cancer	Lung Cancer	1
Kidney Cancer	Kidney Cancer	1
Kidney Cancer	Leukemia	1
Kidney Cancer	Ovarian Cancer	1
Kidney Cancer	Colon/Colorectal Cancer	1
Endometrial/Uterine Cancer	Colon/Colorectal Cancer	1
Bladder Cancer	Bladder Cancer	1
Sarcoma	Sarcoma	1
Ovarian Cancer	Ovarian Cancer	1
