GO.ID	Term	n
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	23
GO:0000245	spliceosomal complex assembly	23
GO:0000398	mRNA splicing, via spliceosome	23
GO:0002223	stimulatory C-type lectin receptor signaling pathway	23
GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	23
GO:0006364	rRNA processing	23
GO:0006413	translational initiation	23
GO:0006521	regulation of cellular amino acid metabolic process	23
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	23
GO:0007067	mitotic nuclear division	23
GO:0019083	viral transcription	23
GO:0031145	anaphase-promoting complex-dependent catabolic process	23
GO:0033209	tumor necrosis factor-mediated signaling pathway	23
GO:0038061	NIK/NF-kappaB signaling	23
GO:0038095	Fc-epsilon receptor signaling pathway	23
GO:0050852	T cell receptor signaling pathway	23
GO:0051436	negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	23
GO:0051437	positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition	23
GO:0060071	Wnt signaling pathway, planar cell polarity pathway	23
GO:0090263	positive regulation of canonical Wnt signaling pathway	23
